"","x"
"142",4.35218875
"143",1.9843375
"144",0.79451875
"145",0.79451875
"146",3.9608675
"147",2.40315
"148",3.3914
"149",0
"150",0
"151",4.726255
"152",3.540355
"153",0
"154",0
"155",0.41974859375
"156",0.2465441875
"157",0.295444375
"158",0.584312
"159",0.996428
"160",0.4738575
"161",0.7962275
"162",0
"163",0
"164",0
"165",0
"166",0
"167",3.112475
"168",3.310125
"169",4.496025
"170",14.0311
"171",0
"172",0.206300634765625
"173",0.2322525390625
"174",1.650405078125
"175",1.52196015625
"176",1.6603703125
"177",7.669044625
"178",0.601600634765625
"179",2.58675126953125
"180",0.825202539062502
"181",1.00555126953125
"182",1.6158025390625
"183",3.231605078125
"184",1.255105078125
"185",0.8697203125
"186",1.4627203125
"187",1.12666015625
"188",2.11491015625
"189",5.8110203125
"190",1.12666015625
"191",0.92901015625
"192",2.4509703125
"193",2.727790625
"194",6.878440625
"195",4.26968125
"196",13.6782625
"197",2.68848125
"198",4.86263425
"199",2.530140625
"200",1.146590625
"201",2.727790625
"202",8.777415
"203",0
"204",0
"205",0
"206",1.58124
"207",6.5225
"208",3.6056125
"209",8.397125
"210",2.88988125
"211",4.7915125
"212",5.827675
"213",0.832558
"214",0
"215",0
"216",1.1859
"217",0
"218",2.311545
"219",0
"220",0
"221",0
"222",0
"223",1.68643
"224",0.89583
"225",0
"226",1.778853
"227",0
"228",0
"229",0.24295375
"230",0
"231",0.3953
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0.988199999999999
"240",0
"241",0.41090390625
"242",1.0194578125
"243",1.0194578125
"244",1.8308625
"245",2.475825
"246",2.475825
"247",1.289925
"248",0.52013225
"249",1.0402625
"250",4.649978
"251",0.696974999999999
"252",6.428821
"253",3.41924
"254",0
"255",0
"256",0.202990078125
"257",0.80127815625
"258",0.4166603125
"259",0.240367625
"260",0.48074125
"261",0.7638325
"262",1.725311
"263",1.490553
"264",0.20786
"265",0.21807
"266",0.811022
"267",3.046427
"268",0.811251875
"269",1.206549875
"270",1.02955375
"271",1.02955375
"272",1.82015875
"273",0.2802575
"274",0.362865
"275",1.746413
"276",2.89988
"277",5.66698
"278",2.11232
"279",6.5224
"280",0
"281",0
"282",1.1859
"283",2.4948125
"284",2.6924625
"285",3.2854125
"286",7.8313625
"287",26.58185
"288",0
"289",0.244991796875
"290",1.28058359375
"291",2.355234375
"292",5.10576875
"293",1.00008544921875
"294",3.5813708984375
"295",1.6048708984375
"296",2.7907708984375
"297",0.837941796875
"298",1.28058359375
"299",6.81478159375
"300",6.703534375
"301",1.762284375
"302",2.26883359375
"303",0.979967187500001
"304",0.576384374999999
"305",1.7705671875
"306",1.959934375
"307",6.29166875
"308",1.35041875
"309",1.15276875
"310",2.3055375
"311",3.622875
"312",2.7008375
"313",1.15276875
"314",1.94336875
"315",2.14101875
"316",10.80334
"317",0
"318",0
"319",0
"320",10.75129
"321",9.76304
"322",0
"323",3.6056175
"324",2.665275
"325",0.407278125
"326",1.40750625
"327",2.6173625
"328",1.0361625
"329",4.0009125
"330",0.733735
"331",0.733735
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",1.9765
"342",0
"343",0
"344",0.45203
"345",0
"346",0
"347",0.502369375
"348",0.41178875
"349",1.8448
"350",0
"351",0
"352",0
"353",6.028075
"354",5.830425
"355",0
"356",0.4625625
"357",0
"358",0
"359",0
"360",2.188981640625
"361",1.003081640625
"362",1.01791328125
"363",2.20381328125
"364",2.20381328125
"365",3.99263625
"366",0.42496328125
"367",4.6052465625
"368",1.502153125
"369",3.0240765625
"370",3.083433125
"371",2.4511125
"372",2.8464125
"373",1.81850625
"374",1.42320625
"375",0.8699125
"376",1.6605125
"377",0.7343625
"378",3.642878
"379",15.38945
"380",0
"381",0.206786015625
"382",0.4318440625
"383",0.2341940625
"384",0.4318410625
"385",1.456643125
"386",0.468388125
"387",0.34382625
"388",0.880787
"389",0
"390",0.52327
"391",0.61337
"392",0.61337
"393",1.206322
"394",1.46523
"395",1.215814328125
"396",0.25748265625
"397",1.24573265625
"398",0.436980625
"399",0.87396125
"400",3.83871125
"401",5.669995
"402",0
"403",0
"404",0
"405",0
"406",0
"407",6.506565
"408",5.123015
"409",0
"410",0
"411",0.2107048828125
"412",1.607312765625
"413",2.81931953125
"414",0.6973890625
"415",3.766578125
"416",4.96370625
"417",1.98303044140625
"418",1.78538044140625
"419",0.210704882812499
"420",5.1519548828125
"421",5.9425548828125
"422",1.014359765625
"423",2.81931953125
"424",4.20286953125
"425",1.987728125
"426",2.383031125
"427",0.24986953125
"428",0.4997390625
"429",2.185378125
"430",3.2668380625
"431",1.592428125
"432",2.59190625
"433",1.01070625
"434",2.4167125
"435",5.426425
"436",10.6371
"437",0
"438",3.953
"439",5.34696
"440",0
"441",18.18378
"442",0.685225
"443",1.1728
"444",2.3456
"445",5.4818
"446",2.754
"447",2.3456
"448",3.33385
"449",4.7174
"450",0.98825
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0.7906
"457",0
"458",0
"459",0
"460",0
"461",0
"462",1.4389205
"463",0.19765
"464",0.790596
"465",0
"466",0.304719375
"467",0.502369375
"468",0.41178875
"469",1.64715
"470",0.3953
"471",0
"472",0.3953
"473",0
"474",2.17417
"475",0
"476",1.1859
"477",0
"478",0
"479",0
"480",0.7906
"481",0
"482",0.834911
"483",0.834911
"484",1.86747
"485",1.95609
"486",0
"487",0
"488",1.4427175
"489",1.106585
"490",0
"491",0
"492",0.4043071875
"493",0.2066571875
"494",0.610961375
"495",1.61723375
"496",0.2697075
"497",0.396068
"498",0.2384975
"499",0.47962875
"500",0.47962875
"501",1.3545595
"502",1.784556984375
"503",0.203358984375
"504",1.19731796875
"505",1.39496796875
"506",1.0110839375
"507",0.8134339375
"508",0.440971875
"509",0.7756375
"510",2.341875
"511",0.92845
"512",0
"513",0
"514",0
"515",0
"516",8.4544275
"517",4.8967375
"518",6.433375
"519",30.45755
"520",0.685317187499999
"521",1.765934375
"522",1.16006875
"523",3.7036875
"524",1.7903988984375
"525",0.8021458984375
"526",2.197241796875
"527",0.220741796875
"528",0.418391796874999
"529",4.19683359375
"530",1.62738359375
"531",1.0806171875
"532",6.8124651875
"533",1.16006875
"534",8.4472875
"535",0.382384375
"536",1.568284375
"537",2.54361875
"538",0.975334375
"539",0.382384375
"540",4.12482075
"541",1.7271875
"542",3.5060375
"543",8.29235
"544",4.14165
"545",0.9365875
"546",2.3201395
"547",2.466125
"548",2.3201375
"549",1.5295375
"550",1.3318875
"551",0
"552",0
"553",0
"554",0
"555",0
"556",3.1624
"557",0.994053125
"558",2.38340625
"559",3.7785625
"560",8.150075
"561",3.1856125
"562",2.7903125
"563",3.7785625
"564",6.3480175
"565",0.3953
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",2.37175
"573",0
"574",0.19765
"575",0
"576",0
"577",3.168805
"578",1.389955
"579",5.942311
"580",0
"581",0.19765
"582",0
"583",0.19765
"584",0.7906
"585",0.232655
"586",0.232655
"587",0.33767
"588",1.153025
"589",0
"590",0
"591",2.96477
"592",2.7671
"593",0
"594",0
"595",0.52775625
"596",4.3483
"597",0
"598",0.989565234375
"599",3.163715234375
"600",1.384865234375
